Mmar,Aana,Plit,Udel,Aarc,Agal,Aolig,Aang,Ccal,Cpal,Lboc,Pdur,Salb,Scar,Stru,HYRIV_ID,ORD_STRA,S_CaCO3_av,ele_mt_cav,ele_mt_uav,ele_mt_cmn,ele_mt_cmx,slp_dg_cav,slp_dg_uav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_uyr,tmp_dc_cmn,tmp_dc_cmx,pre_mm_cyr,pre_mm_uyr,crp_pc_use,pst_pc_use,hft_ix_u09,continenta
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,20603921,4,0,992,1411,925,1244,37,103,38,115,93,34,213,478,608,11,18,68,17.92430417
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,20599179,3,3,774,963,746,823,9,41,37,124,115,43,218,617,636,20,21,63,17.45242059
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20592179,3,0,807,838,781,853,15,12,20,120,119,38,214,460,478,41,28,94,17.61509652
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20594338,3,1,848,1029,813,890,11,30,24,118,110,37,211,393,427,61,24,114,17.37436185
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20590338,4,0,790,1092,753,845,18,50,7,120,108,38,214,419,491,39,23,115,17.63004832
0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,20579503,4,0,505,777,316,606,80,85,44,129,113,49,217,652,750,31,9,82,16.70570044
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,20601759,1,9,1004,1004,791,1613,52,52,147,113,113,33,207,677,677,25,15,55,17.46303147
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20575364,4,0,752,845,705,791,45,36,21,117,111,35,207,513,580,17,8,69,17.21380689
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20566005,3,1,766,841,742,798,8,5,22,117,113,34,205,470,525,62,17,163,17.16395591
1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,20577798,4,0,362,797,257,436,57,97,27,138,112,61,221,836,962,16,6,78,15.95798673
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20552769,3,0,1205,1460,1071,1502,123,163,84,89,75,17,171,809,952,5,14,55,15.43308896
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20566077,5,0,755,1135,740,769,3,76,13,117,94,34,205,487,746,22,18,100,17.05728299
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20548774,2,0,1307,1528,1170,1721,113,160,63,84,71,14,163,891,1011,10,45,73,14.88031669
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20554325,3,0,966,1427,939,1085,35,156,46,104,77,27,187,658,925,10,33,87,16.02523543
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,20558463,4,0,862,1246,811,977,22,130,23,111,86,31,194,568,799,13,21,86,16.23562503
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20554528,4,0,1001,1373,893,1137,45,171,31,101,79,25,181,669,875,5,23,80,15.49983804
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20549472,1,0,1383,1383,1043,1711,220,220,183,78,78,7,158,853,853,3,21,73,14.95597925
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20550087,3,0,1262,1502,1079,1615,263,193,335,86,72,13,166,811,926,6,30,69,15.22791149
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20561234,2,6,795,820,758,820,15,11,61,115,114,33,202,509,518,77,6,128,16.9081115
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20549093,2,0,1575,1717,1330,2114,152,169,110,67,59,-2,146,949,1011,3,23,31,14.77169622
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,20557480,3,2,891,1116,869,932,16,82,20,108,94,30,189,601,722,11,27,89,15.92045877
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,20564416,3,1,788,992,766,817,7,48,17,116,102,33,202,493,638,42,17,100,16.87013281
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20573507,6,0,726,1036,679,771,26,65,13,119,100,36,209,427,671,33,14,108,17.38659577
0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,20560848,3,2,819,1035,802,856,8,45,19,112,99,31,193,570,682,32,31,96,16.1617607
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20576887,3,2,758,902,691,862,32,31,19,121,111,36,213,428,482,67,17,120,17.74824249
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20566010,1,5,1019,1019,890,1369,49,49,60,98,98,21,185,583,583,38,27,74,16.43560189
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20565086,4,1,815,985,781,911,35,47,7,111,99,30,196,533,623,46,27,143,16.60526583
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20564569,3,0,803,1201,789,831,5,78,15,116,90,31,199,507,737,34,20,103,16.9142558
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20574004,3,3,898,959,804,947,39,31,20,111,106,27,202,480,509,63,17,96,17.54531558
0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,20568473,5,0,768,1001,737,887,23,49,12,118,101,32,204,468,586,43,23,119,17.24545045
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20574879,1,6,821,821,712,859,12,12,89,118,118,32,208,441,441,58,16,126,17.60895268
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20567164,3,0,1251,1410,1055,1628,105,142,142,88,79,12,176,658,730,2,17,63,16.51851286
0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,20568628,4,0,842,1113,787,899,27,68,15,112,96,29,200,500,594,22,19,90,17.07441677
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20570182,3,2,730,823,700,795,12,16,11,120,114,36,209,426,500,61,7,118,17.2849986
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20578445,4,1,654,768,637,701,16,12,13,124,118,40,215,365,441,72,7,124,17.52156737
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20587744,3,1,773,821,716,827,21,11,23,121,119,38,213,371,382,82,13,123,17.51437835
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20572567,3,1,1133,1299,1029,1480,67,76,14,98,89,18,191,602,652,3,11,85,17.33849101
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,20579606,4,1,1043,1178,948,1121,36,52,25,105,96,22,201,530,607,38,19,98,17.88010148
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20575199,2,8,1057,1120,1016,1256,43,48,12,102,98,19,195,559,592,39,16,80,17.6145691
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20571927,2,0,1361,1432,1080,1869,106,98,79,85,81,7,177,673,702,1,10,87,17.13853509
0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,20578236,5,0,898,1102,833,1004,38,43,8,112,101,29,206,481,556,44,14,89,17.70476895
0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,20577312,5,0,852,1095,797,1023,24,42,13,114,102,31,207,471,553,45,14,90,17.67057523
0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,20567725,4,0,778,1017,742,882,18,42,11,119,102,31,204,466,630,50,17,108,17.37308811
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20566806,1,11,766,766,750,789,6,6,0,119,119,33,204,469,469,74,10,104,17.10625017
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,20586916,2,1,917,1198,901,939,11,60,38,115,100,30,212,464,530,27,25,96,18.25259615
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,20601203,3,1,1137,1311,1069,1449,32,68,14,106,97,25,203,426,494,37,19,85,17.87887879
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20561782,2,0,1140,1404,1042,1332,51,123,69,94,80,18,181,750,898,3,5,56,16.37140882
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20549390,3,0,1219,1413,1076,1521,115,140,53,86,75,16,162,853,928,5,30,72,14.47900451
1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,20568195,3,0,962,1158,877,1214,42,81,45,104,93,25,192,687,801,2,2,38,16.67371157
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,20565488,3,0,1149,1353,941,1594,116,131,66,94,83,17,182,722,859,3,3,38,16.64916979
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,20588900,3,0,434,711,92,916,174,75,97,141,125,67,221,1047,1170,36,10,98,15.24508244
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,20594679,4,0,771,870,737,849,18,24,17,122,118,41,216,550,529,19,27,94,17.52734815
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20587205,3,1,759,851,744,785,6,10,24,122,118,39,215,371,385,78,15,127,17.59929209
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20573258,3,1,739,788,720,777,10,10,7,120,118,36,210,414,453,70,9,141,17.39999975
0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,20587301,4,0,800,1116,763,822,18,50,24,121,106,36,217,407,476,35,24,157,18.04582914
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20584619,3,7,1033,1135,929,1121,49,48,39,107,102,24,204,494,521,37,20,105,18.08036158
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20598874,1,1,919,919,827,1025,29,29,138,117,117,36,212,449,449,54,35,100,17.702897
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,20589902,2,0,286,789,52,664,146,132,157,144,118,79,212,1143,1420,9,5,116,13.13871027
0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,20603842,2,1,1072,1291,981,1548,49,80,17,111,99,30,209,482,536,11,27,78,17.90100048
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20578907,3,7,761,820,701,836,25,14,19,120,117,36,212,398,424,68,18,148,17.59526219
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20584048,3,1,734,801,682,796,21,9,19,123,121,39,215,381,382,75,13,134,17.68761744
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20593912,1,4,888,888,865,937,6,6,23,117,117,35,213,386,386,70,21,50,17.8084473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20587956,3,0,833,1018,763,935,10,30,25,120,110,34,216,424,478,44,25,121,18.13140185
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20551113,3,0,1055,1305,960,1287,73,128,44,95,81,24,171,777,872,9,37,88,14.60799384
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20551847,2,0,1014,1226,907,1465,62,106,64,96,84,26,172,789,857,11,49,157,14.51435263
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20562982,2,1,985,1270,923,1074,29,99,64,99,85,24,184,611,694,10,15,98,16.06141612
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20560331,2,1,905,948,857,1010,28,41,28,101,99,27,184,624,648,52,34,113,15.65420489
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20548474,1,0,1608,1608,1182,2116,211,210,795,66,66,-3,146,988,987,4,27,88,14.98009729
0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,20559769,4,0,810,1200,772,910,12,111,29,114,90,33,199,539,761,13,19,158,16.6610188
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20577706,4,1,687,769,643,778,15,12,16,122,118,38,213,376,441,72,7,124,17.52503349
